Cebpa EKLF EgrNab Fli1 FOG1 GATA1 GATA2 Gfi1 Pu1 SCL cJun 
1,0,true,false,false,false,false,false,true,false,true,false,false
0,1,true,false,false,false,false,false,false,false,true,false,false
1,1,true,false,false,false,false,false,true,true,true,false,false
2,1,true,false,false,false,false,false,true,false,false,false,false
3,1,true,false,false,false,false,false,true,false,true,false,true
4,2,true,false,true,false,false,false,true,false,true,false,true
5,2,true,false,false,false,false,false,false,false,true,false,true
6,2,true,false,false,false,false,false,true,true,true,false,true
7,2,true,false,false,false,false,false,true,false,false,false,true
8,3,true,false,false,false,false,true,true,false,false,false,true
9,3,true,false,false,false,false,false,true,true,false,false,true
11,4,true,false,false,false,false,true,true,true,false,false,true
12,4,true,false,false,false,false,false,true,true,false,false,false
13,5,true,false,false,false,false,true,true,true,false,false,false
14,6,true,true,false,false,false,true,true,true,false,false,false
15,6,true,false,false,true,false,true,true,true,false,false,false
16,6,true,false,false,false,true,true,true,true,false,false,false
17,6,true,false,false,false,false,true,true,true,false,true,false
18,7,true,true,false,false,false,true,true,true,false,true,false
19,7,true,false,false,true,false,true,true,true,false,true,false
20,7,true,false,false,false,true,true,true,true,false,true,false
21,8,false,false,false,false,true,true,true,true,false,true,false
22,8,true,true,false,false,true,true,true,true,false,true,false
23,8,true,false,false,true,true,true,true,true,false,true,false
24,8,true,false,false,false,true,true,false,true,false,true,false
25,9,false,false,false,false,true,true,false,true,false,true,false
26,9,true,true,false,false,true,true,false,true,false,true,false
27,9,true,false,false,true,true,true,false,true,false,true,false
28,10,false,false,false,true,true,true,false,true,false,true,false
29,11,false,false,false,true,true,true,false,false,false,true,false
30,10,false,true,false,false,true,true,false,true,false,true,false
31,11,false,true,false,false,true,true,false,false,false,true,false
34,10,false,false,false,false,true,true,false,false,false,true,false
37,9,false,false,false,true,true,true,true,true,false,true,false
40,10,false,false,false,true,true,true,true,false,false,true,false
42,9,false,true,false,false,true,true,true,true,false,true,false
45,10,false,true,false,false,true,true,true,false,false,true,false
50,9,false,false,false,false,true,true,true,false,false,true,false
